OrderID,Date,Product,Category,Quantity,Amount,CustomerID,Region
1001,2025-01-15,Laptop,Electronics,1,75000,C001,North
1002,2025-01-16,Mouse,Electronics,2,1200,C002,South
1003,2025-01-17,Keyboard,Electronics,1,2500,C003,West
1004,2025-01-18,Notebook,Stationery,10,800,C004,North
1005,2025-01-19,Shirt,Clothing,3,1800,C005,East
1006,2025-01-20,Monitor,Electronics,1,32000,C001,South
1007,2025-01-21,Pen,Stationery,50,1500,C006,West
1008,2025-01-22,Headphones,Electronics,2,4500,C007,North
1009,2025-01-23,T-Shirt,Clothing,5,2500,C008,South
1010,2025-01-24,Printer,Electronics,1,18000,C009,East
1011,2025-01-24,Printer,Electronics,1,18000,C009,East
