OrderID,Date,Product,Category,Quantity,Amount,CustomerID,Region,Total_Amount,Year,Month,Day,Sales_Category
1001,2025-01-15,Laptop,Electronics,1,75000,C001,North,75000,2025,1,15,High
1002,2025-01-16,Mouse,Electronics,2,1200,C002,South,2400,2025,1,16,Low
1003,2025-01-17,Keyboard,Electronics,1,2500,C003,West,2500,2025,1,17,Low
1004,2025-01-18,Notebook,Stationery,10,800,C004,North,8000,2025,1,18,Low
1005,2025-01-19,Shirt,Clothing,3,1800,C005,East,5400,2025,1,19,Low
1006,2025-01-20,Monitor,Electronics,1,32000,C001,South,32000,2025,1,20,Medium
1007,2025-01-21,Pen,Stationery,50,1500,C006,West,75000,2025,1,21,High
1008,2025-01-22,Headphones,Electronics,2,4500,C007,North,9000,2025,1,22,Low
1009,2025-01-23,T-Shirt,Clothing,5,2500,C008,South,12500,2025,1,23,Medium
1010,2025-01-24,Printer,Electronics,1,18000,C009,East,18000,2025,1,24,Medium
